query_id	doc_id	judgement	confidence	annotator_id	duration_ms
1	d1_1	3	0.85	User_5	30289
1	d1_1	3	0.94	User_0	83482
1	d1_1	3	0.92	User_4	16165
1	d1_2	2	0.81	User_0	38062
1	d1_2	1	0.92	User_5	12851
1	d1_2	2	0.87	User_1	32379
1	d1_3	1	0.87	User_1	57082
1	d1_3	2	0.65	User_2	82284
1	d1_3	1	0.58	User_0	84357
1	d1_4	0	0.94	User_2	18006
1	d1_4	0	0.95	User_4	22458
1	d1_4	0	0.97	User_5	61823
1	d1_5	0	0.87	User_2	39460
1	d1_5	0	0.94	User_3	21358
1	d1_5	0	0.91	User_5	44087
1	d1_6	0	1.0	User_1	85000
1	d1_6	0	0.94	User_3	19331
1	d1_6	0	0.96	User_4	53347
1	d1_7	1	0.61	User_3	53245
1	d1_7	1	0.88	User_2	72142
1	d1_7	1	0.85	User_0	85579
1	d1_8	1	0.87	User_4	30131
1	d1_8	1	0.82	User_2	18175
1	d1_8	0	0.83	User_3	32969
2	d2_1	2	0.88	User_5	73348
2	d2_1	3	0.99	User_3	13504
2	d2_1	3	0.94	User_0	82381
2	d2_2	3	0.89	User_2	46522
2	d2_2	2	0.82	User_5	51117
2	d2_2	2	0.95	User_0	82697
2	d2_3	0	0.99	User_4	52306
2	d2_3	1	0.98	User_0	22322
2	d2_3	1	0.66	User_2	81822
2	d2_4	0	0.85	User_1	67461
2	d2_4	0	0.99	User_5	38365
2	d2_4	0	0.88	User_3	60944
2	d2_5	0	0.85	User_3	20392
2	d2_5	0	0.8	User_4	84603
2	d2_5	0	0.92	User_5	12942
2	d2_6	0	0.98	User_0	55309
2	d2_6	0	0.9	User_5	48500
2	d2_6	1	0.84	User_1	29342
2	d2_7	1	0.66	User_5	36957
2	d2_7	1	0.89	User_4	67519
2	d2_7	0	0.95	User_3	24899
2	d2_8	0	0.85	User_0	36931
2	d2_8	1	0.83	User_3	36050
2	d2_8	0	0.89	User_2	21880
3	d3_1	3	0.93	User_3	82855
3	d3_1	3	0.99	User_4	42982
3	d3_1	3	0.88	User_0	75092
3	d3_2	2	1.0	User_1	46760
3	d3_2	1	0.94	User_3	84845
3	d3_2	1	0.86	User_0	19665
3	d3_3	2	0.92	User_4	77909
3	d3_3	1	0.9	User_5	36356
3	d3_3	1	0.94	User_0	42828
3	d3_4	0	0.92	User_3	66948
3	d3_4	0	0.99	User_0	38772
3	d3_4	0	0.85	User_1	63876
3	d3_5	0	0.99	User_1	21508
3	d3_5	0	0.89	User_2	85792
3	d3_5	0	0.81	User_3	39938
3	d3_6	0	0.98	User_4	44018
3	d3_6	0	0.86	User_2	69433
3	d3_6	0	0.92	User_1	81329
3	d3_7	1	0.53	User_0	27129
3	d3_7	1	0.53	User_4	48930
